
* Season Simple (427 2021-01-04 .. 2022-03-06)

* General Basics (84 2021-01-04 .. 2021-03-28)

* General Endurance (7, 2021-01-04 .. 2021-01-10)
2021-01-05;3.5;Running;00:25:00;
2021-01-07;3.5;Running;00:25:00;
2021-01-09;;Strength;00:25:00;
2021-01-10;30.0;Bicycle;02:00:00;


* General Endurance (7, 2021-01-11 .. 2021-01-17)
2021-01-12;3.5;Running;00:25:00;
2021-01-14;3.5;Running;00:25:00;
2021-01-16;;Strength;00:25:00;
2021-01-17;30.0;Bicycle;02:00:00;


* General Endurance (7, 2021-01-18 .. 2021-01-24)
2021-01-19;3.5;Running;00:25:00;
2021-01-21;3.5;Running;00:25:00;
2021-01-23;;Strength;00:25:00;
2021-01-24;30.0;Bicycle;02:00:00;


* General Regeneration (7, 2021-01-25 .. 2021-01-31)
2021-01-26;30.0;Bicycle;01:15:00;
2021-01-28;3.5;Running;00:25:00;
2021-01-31;30.0;Bicycle;01:15:00;


* General Endurance (7, 2021-02-01 .. 2021-02-07)
2021-02-02;3.5;Running;00:25:00;
2021-02-04;3.5;Running;00:25:00;
2021-02-06;;Strength;00:25:00;
2021-02-07;30.0;Bicycle;02:00:00;


* General Endurance (7, 2021-02-08 .. 2021-02-14)
2021-02-09;3.5;Running;00:25:00;
2021-02-11;3.5;Running;00:25:00;
2021-02-13;;Strength;00:25:00;
2021-02-14;30.0;Bicycle;02:00:00;


* General Endurance (7, 2021-02-15 .. 2021-02-21)
2021-02-16;3.5;Running;00:25:00;
2021-02-18;3.5;Running;00:25:00;
2021-02-20;;Strength;00:25:00;
2021-02-21;30.0;Bicycle;02:00:00;


* General Regeneration (7, 2021-02-22 .. 2021-02-28)
2021-02-23;30.0;Bicycle;01:15:00;
2021-02-25;3.5;Running;00:25:00;
2021-02-28;30.0;Bicycle;01:15:00;


* General Endurance (7, 2021-03-01 .. 2021-03-07)
2021-03-02;3.5;Running;00:25:00;
2021-03-04;3.5;Running;00:25:00;
2021-03-06;;Strength;00:25:00;
2021-03-07;30.0;Bicycle;02:00:00;


* General Endurance (7, 2021-03-08 .. 2021-03-14)
